date,population_group,returned_to_shelter,moved_to_housing,actively_homeless,newly_identified,ageunder16,age16-24,age25-34,age35-44,age45-54,age55-64,age65over,interaction_age_under16_time,interaction_age16_24_time,interaction_age25_34_time,interaction_age35_44_time,interaction_age45_54_time,interaction_age55_64_time,interaction_age65over_time,population_group_percentage
2018-01-01,Chronic,29,111,2532,317,223,346,313,403,505,495,247,1.5363429489767784,1.4786503028980966,1.702217578338915,2.1577008016844457,2.547208348267416,2.8322117101043855,2.825814145107804,31.8
2018-02-01,Chronic,31,152,2541,217,202,362,308,399,521,496,253,1.6423002165331901,1.2493257351054667,1.6817142389688204,2.1221446812766276,2.3430573052445727,2.7484369656329473,2.6144290777400796,31.2
2018-03-01,Chronic,30,175,2614,327,226,377,316,412,526,500,257,1.4425810894849032,1.0442882930414552,1.6076016910806907,2.0131683573874057,2.2456797674741082,2.6355134648260496,2.462134543984027,30.4
2018-04-01,Chronic,27,217,2653,328,236,381,322,433,519,504,258,1.3389687968244297,0.9710176959922363,1.5396272669960385,1.8663910017128629,2.2445849846364396,2.5183055030922836,2.3748271089046957,29.4
2018-05-01,Chronic,36,167,2697,269,242,376,324,444,533,517,261,1.265532407630253,1.0010921855930273,1.4909052147145652,1.7696316857813887,2.0721515320195683,2.3016708288074357,2.247494922182752,28.3
2018-06-01,Chronic,24,193,2725,316,272,381,321,457,531,510,253,1.0442931529275,0.9191440789024254,1.4613977938266818,1.6654639624434666,2.0301339516033363,2.3162609493348585,2.353172023561523,27.7
2018-07-01,Chronic,35,248,2791,376,302,384,331,481,543,496,254,0.8345147619608602,0.8621105846558391,1.381747838774739,1.5208262105985544,1.8818689234885837,2.4051265698039095,2.2673992718684235,29.1
2018-08-01,Chronic,34,236,2766,299,281,371,334,481,536,494,269,0.9327185759872004,0.9692437595881156,1.32960615156807,1.4759621021229654,1.8783906145865066,2.3554096588019866,1.9026868934039745,28.9
2018-09-01,Chronic,30,275,2716,327,244,362,331,472,548,497,262,1.114189769995729,1.0287684224308098,1.3002251973411685,1.4658249301321606,1.7348001918523424,2.252930705833583,1.9796119484585624,29.1
2018-10-01,Chronic,35,227,2868,435,299,370,365,493,552,506,283,0.7779512819045913,0.9208582662800117,1.139515737372379,1.3427832676144051,1.6542129391643654,2.0947436044547936,1.5275389528172383,31.4
2018-11-01,Chronic,32,258,2840,329,286,368,354,488,557,517,270,0.8219736571796331,0.9096415449477152,1.1406386506408897,1.3174733384437427,1.5669158303771193,1.9207686936667494,1.712983502428193,29.7
2018-12-01,Chronic,40,237,2906,370,292,371,379,488,578,522,276,0.7645029592781479,0.8532979690524155,1.0202671565298667,1.2748758880918736,1.3788183429662695,1.811930589109308,1.5527192514832409,29.7
2019-01-01,Chronic,27,228,3053,532,369,394,384,505,589,534,278,0.3553220443456524,0.6244835847843143,0.9689188344238342,1.1733560333458155,1.2617080467865471,1.64108028281137,1.4653562601055827,30.4
2019-02-01,Chronic,30,274,3083,388,379,394,378,510,593,554,275,0.29468062986626226,0.6021511057808856,0.9529231152241476,1.1150873637427101,1.1922170706190474,1.4083635185546124,1.4617712169230161,30.9
2019-03-01,Chronic,28,289,3287,551,441,412,407,552,617,574,284,-0.0024294378646281503,0.43658338289819115,0.8338593807387019,0.9453376875652273,1.010955309110822,1.1929856939549608,1.2712548995990822,32.7
2019-04-01,Chronic,32,287,3308,409,431,408,415,562,631,577,284,0.04221481384270373,0.45090071289724437,0.7787447290554345,0.8787488175485436,0.8928860557004432,1.1229451426798749,1.2224726709477196,32.6
2019-05-01,Chronic,29,304,3382,459,461,406,429,573,631,590,292,-0.08790716474768508,0.4484234450950643,0.7097796645801131,0.8127571027140771,0.8584051964334956,0.9785056916758859,1.0589434190857703,33.2
2019-06-01,Chronic,26,306,3388,436,484,393,430,584,612,588,297,-0.17867979319267105,0.5228604894663768,0.6776558172196905,0.7482954166128833,0.9219152235550628,0.9527948635702366,0.9453065721613877,33.5
2019-07-01,Chronic,35,318,3314,366,439,403,401,584,616,574,297,0.005803920757478024,0.4323711984643209,0.7232387020669471,0.7169358471943537,0.863282651313561,1.0128240358074236,0.9056906578936361,34.7
2019-08-01,Chronic,32,285,3336,381,425,396,415,586,616,596,302,0.058117981796386095,0.45866272112797707,0.6564477482782127,0.6794204258484036,0.8242630122730369,0.8170667773843074,0.8010092963233205,35.8
2019-09-01,Chronic,36,303,3299,408,423,398,402,587,603,597,289,0.0625221006189902,0.42447457201870276,0.655538667089999,0.6448231608809939,0.8443584463868812,0.7718933145171113,0.9209814606174779,36.1
2019-10-01,Chronic,51,281,3275,321,407,384,399,568,605,618,294,0.11400566428571614,0.48719202774052095,0.6306416999164426,0.6578423715689852,0.7950974854647805,0.604948636877292,0.8188860785401765,35.6
2019-11-01,Chronic,68,237,3320,379,390,390,424,595,600,622,299,0.162927939088322,0.4279926922504656,0.5453814424624525,0.5642025478655986,0.7741056734575409,0.5499316288392506,0.7213496368066923,35.1
2019-12-01,Chronic,49,207,3459,413,396,418,459,622,622,638,304,0.1359090446222502,0.25599938834278246,0.4469424789294005,0.47799178383968527,0.6473978047718837,0.4318659624112237,0.6310326648146309,34.9
2020-01-01,Chronic,47,225,3547,412,429,432,461,635,630,653,307,0.03302717002957221,0.17085483066939142,0.4172071640297617,0.4247261982710032,0.5804695591345874,0.3283746741509259,0.5650099397562981,35
2020-02-01,Chronic,28,287,3519,398,408,442,450,619,616,665,319,0.08769236038705015,0.11322116354810903,0.41070116195492007,0.4278870902128944,0.5926625740970226,0.24927007841884338,0.42010724271852606,34.7
2020-03-01,Chronic,26,323,3547,457,424,441,462,635,630,640,315,0.04174826664524451,0.11066585620106809,0.36568370283547547,0.37394730792561676,0.5110704963686907,0.3489128675521676,0.42864154485366085,35.8
2020-04-01,Chronic,21,307,3546,428,384,452,477,652,631,633,317,0.1330658412396234,0.05771309852997696,0.3171044925609724,0.3204576880436125,0.47221957264368264,0.35437318118451966,0.3825711283368196,43.1
2020-05-01,Chronic,29,256,3623,452,393,449,493,687,627,649,325,0.1036924604971825,0.06492322085439622,0.27128391571100935,0.24504454040837567,0.448842990096578,0.26506068082739853,0.29531924955581357,43.2
2020-06-01,Chronic,36,268,3704,450,414,448,510,690,653,657,332,0.0531191219503682,0.06313684689781336,0.2270800527290727,0.22100344108699585,0.3460061162788368,0.2143492081654929,0.22360366585962785,47.1
2020-07-01,Chronic,29,302,3677,414,415,439,498,677,655,663,330,0.046729852145920764,0.08650627635358203,0.22188466802716925,0.21827743648356046,0.31167317180905396,0.17599015577330607,0.21688372796298125,47.6
2020-08-01,Chronic,39,308,3782,504,440,446,516,715,686,658,321,7.878565027396613e-4,0.05790478316204157,0.18104015510943675,0.15429160916172574,0.21619630362571532,0.17396853209784496,0.24647529168408863,50.6
2020-09-01,Chronic,38,356,3776,374,377,411,540,715,709,690,334,0.09386391749089913,0.14192849787236672,0.13859203767268213,0.13773291328698503,0.14976513704235273,0.06939965392563391,0.15476323931184466,49.9
2020-10-01,Chronic,44,289,3695,296,301,382,541,701,709,707,354,0.18225219672242735,0.19148555984769516,0.12162001218019987,0.13415569249903248,0.13234070282346366,0.021001038593516683,0.04803816570738828,49.2
2020-11-01,Chronic,32,250,3552,209,238,365,497,675,706,723,348,0.22857814441388427,0.19889468301150962,0.1372909461242797,0.13587492268297802,0.11864009473608003,-0.014644995841837457,0.06449707521654315,46.8
2020-12-01,Chronic,35,202,3533,212,205,357,496,684,710,726,355,0.22532021686982234,0.18193034920020368,0.11698878309617013,0.10930829806190685,0.09569481182590056,-0.017624110459293293,0.03192921339367056,45.6
2021-01-01,Chronic,23,209,3550,303,203,342,509,685,710,742,359,0.18501581223056518,0.1685048648747643,0.0886840655975532,0.08846963315385643,0.07791552431958264,-0.03697807215715007,0.015417596627129559,45.3
2021-02-01,Chronic,26,169,3601,286,220,332,520,694,716,751,368,0.132575305781223,0.14053841847952958,0.06415738083202978,0.06459974782129,0.055550522536741746,-0.03836416153724807,-0.00647253459357431,45.8
2021-03-01,Chronic,20,186,3615,295,222,320,521,713,721,757,361,0.09629106791629384,0.11223054907552818,0.04673900241843474,0.04165126784319624,0.03791541640121789,-0.03291984417361643,0.005729432911380679,46.7
2021-04-01,Chronic,18,165,3627,283,217,312,528,716,751,747,356,0.05876552496851319,0.07062864320446287,0.026692267571096138,0.024313876661912637,0.012594785408204547,-0.014867674058790002,0.007881883341390328,48.3
2021-05-01,Chronic,36,159,3739,346,230,308,567,751,770,750,363,0.019135938783503358,0.02505354900566418,0.006928903323167446,0.006241236080641841,0.0021589697909332093,-0.005635541825712675,5.64596527701818e-4,49.4
2021-06-01,Chronic,37,152,3840,320,226,326,576,778,800,763,371,-0.018629626646915507,-0.021209756429376704,-0.00611272160471541,-0.00436703610172763,0.0012494360141369727,0.007433917537136472,0.0018195990616786872,47.8
2021-07-01,Chronic,39,162,3904,302,247,317,585,796,812,766,381,-0.050091874379868735,-0.06728210885308637,-0.016708704485667903,-0.009845788571998077,0.007673062758315272,0.023568058859645583,0.014212927149756659,46.9
